"author_full","classe"
"amtoscana","Weather"
"Ossmeteobargone","Weather"
"flash_meteo","Weather"
"3BMeteo","Weather"
"wwwmeteoit","Weather"
"elbameteo","Weather"
"AllertaMeteoIT","Weather"
"AllertaMeteoLIG","Weather"
"meteocarpi","Weather"
"LucaLombroso","Weather"
"classmeteo","Weather"
"CMeteo","Weather"
"ReteMeteoAmator","Weather"
"VicchioMeteo","Weather"
"meteogequinto","Weather"
"MeteoPortaleITA","Weather"
"MeteoTweet24","Weather"
