"author_full","classe"
"CRIcuneo","Volunteer_NGO"
"ProteggereI","Volunteer_NGO"
"crpiemonte","Volunteer_NGO"
"fircbvercelli","Volunteer_NGO"
"Emergenza24","Volunteer_NGO"
"bc_emergenza","Volunteer_NGO"
"crocerossabusca","Volunteer_NGO"
"sopcrivco","Volunteer_NGO"
"CRIaeprovtorino","Volunteer_NGO"
"Crinova","Volunteer_NGO"
"Emergenza20","Volunteer_NGO"
