"author_full","classe"
"ArpaPiemonte","Weather"
"Ossmeteobargone","Weather"
"wwwmeteoit","Weather"
"3BMeteo","Weather"
"AllertameteoPIE","Weather"
"classmeteo","Weather"
"meteoonlineit","Weather"
"LucaLombroso","Weather"
"MeteoTweet24","Weather"
"Quezzimeteo","Weather"
"RADIORMT","Weather"
